janela_dias,ranking_tipo,instituicao,pos,h3_cell,lat,lon,score,cnt_ocorrencias,cnt_denuncias,cnt_fatores,cnt_cameras
7,PM-RJ,Polícia Militar do Rio de Janeiro,7,88a8a06e5dfffff,-22.839428,-43.338778,45.555556,1.0,4.0,0.0,0.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,8,88a8a06a43fffff,-22.917798,-43.180837,43.333333,6.0,0.0,0.0,0.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,9,88a8a06085fffff,-22.875184,-43.336565,42.222222,4.0,0.0,15.0,0.0
7,PM-RJ,Polícia Militar do Rio de Janeiro,10,88a8a06163fffff,-22.916757,-43.223844,41.639847,5.0,0.0,7.0,7.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,1,88a8a06085fffff,-22.875184,-43.336565,53.888889,4.0,0.0,63.0,0.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,2,88a8a06087fffff,-22.868826,-43.342559,43.968254,5.0,0.0,46.0,0.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,3,88a8a078c9fffff,-22.98554,-43.200897,40.079365,1.0,0.0,53.0,0.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,4,88a8a07ab7fffff,-22.98052,-43.216147,40.0,0.0,0.0,56.0,20.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,5,88a8a078abfffff,-22.947175,-43.184612,35.31746,4.0,0.0,37.0,48.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,6,88a8a02a4dfffff,-22.994932,-43.622217,35.0,0.0,1.0,0.0,0.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,7,88a8a06757fffff,-22.888358,-43.429079,35.0,0.0,1.0,0.0,0.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,8,88a8a02833fffff,-22.885162,-43.610305,35.0,0.0,1.0,0.0,0.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,9,88a8a07469fffff,-23.012162,-43.438228,35.0,0.0,1.0,0.0,0.0
7,GM-Rio,Guarda Municipal do Rio de Janeiro,10,88a8a06a0bfffff,-22.90377,-43.183576,25.238095,3.0,0.0,26.0,87.0
7,RioLuz,Rio Luz (Iluminação Pública),1,88a8a07885fffff,-22.954849,-43.187869,80.0,3.0,0,45.0,27.0
7,RioLuz,Rio Luz (Iluminação Pública),2,88a8a078abfffff,-22.947175,-43.184612,69.333333,4.0,0,36.0,48.0
7,RioLuz,Rio Luz (Iluminação Pública),3,88a8a078a9fffff,-22.953522,-43.178615,68.888889,2.0,0,40.0,46.0
7,RioLuz,Rio Luz (Iluminação Pública),4,88a8a07ab7fffff,-22.98052,-43.216147,57.555556,0.0,0,37.0,20.0
7,RioLuz,Rio Luz (Iluminação Pública),5,88a8a078a3fffff,-22.9395,-43.181355,52.0,3.0,0,27.0,58.0
7,RioLuz,Rio Luz (Iluminação Pública),6,88a8a06085fffff,-22.875184,-43.336565,46.0,4.0,0,21.0,0.0
7,RioLuz,Rio Luz (Iluminação Pública),7,88a8a061c1fffff,-22.888967,-43.281576,44.0,2.0,0,24.0,0.0
7,RioLuz,Rio Luz (Iluminação Pública),8,88a8a061cdfffff,-22.895321,-43.275582,42.0,0.0,0,27.0,0.0
7,RioLuz,Rio Luz (Iluminação Pública),9,88a8a0610dfffff,-22.918083,-43.233097,37.777778,9.0,0,5.0,0.0
7,RioLuz,Rio Luz (Iluminação Pública),10,88a8a06087fffff,-22.868826,-43.342559,36.888889,5.0,0,13.0,0.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,1,88a8a061cdfffff,-22.895321,-43.275582,70.0,0.0,0.0,63.0,0.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,2,88a8a07885fffff,-22.954849,-43.187869,52.222222,3.0,0.0,41.0,27.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,3,88a8a078abfffff,-22.947175,-43.184612,36.666667,4.0,1.0,16.0,48.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,4,88a8a078a9fffff,-22.953522,-43.178615,33.333333,2.0,0.0,26.0,46.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,5,88a8a061c1fffff,-22.888967,-43.281576,33.333333,2.0,0.0,26.0,0.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,6,88a8a061ebfffff,-22.879965,-43.269067,30.0,0.0,0.0,27.0,0.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,7,88a8a06027fffff,-22.902998,-43.278839,28.888889,3.0,0.0,20.0,0.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,8,88a8a06085fffff,-22.875184,-43.336565,28.888889,4.0,0.0,18.0,0.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,9,88a8a078c9fffff,-22.98554,-43.200897,28.888889,1.0,0.0,24.0,0.0
7,COMLURB,Companhia Municipal de Limpeza Urbana,10,88a8a0610dfffff,-22.918083,-43.233097,24.444444,9.0,0.0,4.0,0.0
7,SEOP,Secretaria de Ordem Pública,1,88a8a06085fffff,-22.875184,-43.336565,51.666667,4.0,0.0,38.0,0.0
7,SEOP,Secretaria de Ordem Pública,2,88a8a02833fffff,-22.885162,-43.610305,40.0,0.0,1.0,0.0,0.0
7,SEOP,Secretaria de Ordem Pública,3,88a8a02a4dfffff,-22.994932,-43.622217,40.0,0.0,1.0,0.0,0.0
7,SEOP,Secretaria de Ordem Pública,4,88a8a06757fffff,-22.888358,-43.429079,40.0,0.0,1.0,0.0,0.0
7,SEOP,Secretaria de Ordem Pública,5,88a8a07469fffff,-23.012162,-43.438228,40.0,0.0,1.0,0.0,0.0
7,SEOP,Secretaria de Ordem Pública,6,88a8a06087fffff,-22.868826,-43.342559,39.122807,5.0,0.0,26.0,0.0
7,SEOP,Secretaria de Ordem Pública,7,88a8a078c9fffff,-22.98554,-43.200897,26.535088,1.0,0.0,21.0,0.0
7,SEOP,Secretaria de Ordem Pública,8,88a8a078abfffff,-22.947175,-43.184612,20.877193,4.0,0.0,12.0,48.0
7,SEOP,Secretaria de Ordem Pública,9,88a8a078a9fffff,-22.953522,-43.178615,19.912281,2.0,0.0,14.0,46.0
7,SEOP,Secretaria de Ordem Pública,10,88a8a07ab5fffff,-22.986865,-43.210151,18.026316,3.0,0.0,11.0,3.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,1,88a8a06085fffff,-22.875184,-43.336565,69.444444,4.0,0.0,34.0,0.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,2,88a8a078c9fffff,-22.98554,-43.200897,60.375817,1.0,0.0,31.0,0.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,3,88a8a06087fffff,-22.868826,-43.342559,51.437908,5.0,0.0,24.0,0.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,4,88a8a078abfffff,-22.947175,-43.184612,36.944444,4.0,0.0,17.0,48.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,5,88a8a078a9fffff,-22.953522,-43.178615,34.722222,2.0,0.0,17.0,46.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,6,88a8a02957fffff,-22.906705,-43.558594,32.810458,2.0,0.0,16.0,6.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,7,88a8a0291dfffff,-22.899035,-43.555333,32.5,0.0,0.0,17.0,20.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,8,88a8a07885fffff,-22.954849,-43.187869,30.098039,3.0,0.0,14.0,27.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,9,88a8a07ab5fffff,-22.986865,-43.210151,30.098039,3.0,0.0,14.0,3.0
7,CET-Rio,Companhia de Engenharia de Tráfego do Rio,10,88a8a06a0bfffff,-22.90377,-43.183576,28.186275,3.0,0.0,13.0,87.0
